# Mag       Xrel    Yrel  Bx      By        Bz      x         y        z        rx       ry       rz
  131.49    -20    -20     6.30   121.44    48.17   0.0180  -0.5920   0.2350   2.9280  -1.0700   0.1790
  136.01    -20    -15     6.82   121.41    60.33   0.0180  -0.5920   0.2350   2.9280  -1.0700   0.1790
  133.54    -20    -10     6.74   122.80    49.65   0.0180  -0.5920   0.2350   2.9280  -1.0700   0.1790
  132.34    -20     -5     6.13   123.88    44.67   0.0064  -0.5756   0.2293   2.9279  -1.0701   0.1790
  118.74    -20      0     4.68   109.57    41.84   0.0033  -0.5794   0.2287   2.9280  -1.0700   0.1791
  113.31    -20      5     5.57   106.72    35.16   0.0001  -0.5833   0.2275   2.9277  -1.0700   0.1790
  106.00    -20     10     4.86   101.00    29.62  -0.0032  -0.5871   0.2285   2.9278  -1.0699   0.1790
  104.48    -20     15     5.43    94.41    42.64  -0.0064  -0.5909   0.2284   2.9280  -1.0700   0.1790
   97.08    -20     20     4.80    91.45    29.30  -0.0096  -0.5947   0.2282   2.9280  -1.0698   0.1791
  137.27    -15    -20     6.82   125.43    53.15   0.0180  -0.5920   0.2350   2.9280  -1.0700   0.1790
  138.54    -15    -15     6.95   125.05    57.45   0.0180  -0.5920   0.2350   2.9280  -1.0700   0.1790
  133.35    -15    -10     6.29   126.35    40.37   0.0180  -0.5920   0.2350   2.9280  -1.0700   0.1790
  135.10    -15     -5     6.83   126.21    45.28   0.0180  -0.5920   0.2350   2.9280  -1.0700   0.1790
  129.99    -15      0     6.25   117.70    53.06   0.0070  -0.5826   0.2294   2.9279  -1.0699   0.1791
  131.07    -15      5     6.09   122.22    44.35   0.0180  -0.5920   0.2350   2.9280  -1.0700   0.1790
  133.27    -15     10     6.78   123.80    45.80   0.0180  -0.5920   0.2350   2.9280  -1.0700   0.1790
  131.42    -15     15     6.38   117.05    59.08   0.0180  -0.5920   0.2350   2.9280  -1.0700   0.1790
  119.04    -15     20     5.98   115.72    26.81   0.0180  -0.5920   0.2350   2.9280  -1.0700   0.1790
  137.14    -10    -20     7.13   127.71    47.01   0.0180  -0.5920   0.2350   2.9280  -1.0700   0.1790
  137.57    -10    -15     6.68   129.96    42.65   0.0204  -0.5743   0.2311   2.9280  -1.0698   0.1791
  139.09    -10    -10     7.63   125.74    55.38   0.0245  -0.5844   0.2344   2.9280  -1.0699   0.1791
  143.15    -10     -5     7.21   130.16    56.91   0.0140  -0.5819   0.2303   2.9280  -1.0700   0.1790
  137.20    -10      0     6.67   128.74    44.82   0.0245  -0.5844   0.2344   2.9280  -1.0699   0.1791
  134.15    -10      5     6.29   119.87    58.68   0.0076  -0.5897   0.2297   2.9280  -1.0699   0.1790
  130.12    -10     10     6.49   123.68    38.52   0.0180  -0.5920   0.2350   2.9280  -1.0700   0.1790
  131.68    -10     15     6.32   119.93    51.95   0.0180  -0.5920   0.2350   2.9280  -1.0700   0.1790
  130.49    -10     20     6.76   119.58    49.99   0.0180  -0.5920   0.2350   2.9280  -1.0700   0.1790
  136.03     -5    -20     7.51   128.05    42.25   0.0274  -0.5737   0.2315   2.9279  -1.0700   0.1790
  143.51     -5    -15     7.58   130.81    55.99   0.0180  -0.5920   0.2350   2.9280  -1.0700   0.1790
  143.22     -5    -10     7.85   136.11    42.21   0.0210  -0.5814   0.2311   2.9279  -1.0700   0.1791
  147.81     -5     -5     8.25   135.88    53.43   0.0178  -0.5852   0.2309   2.9279  -1.0700   0.1791
  160.86     -5     -4     8.48   152.21    50.30   0.0195  -0.5892   0.2314   2.9281  -1.0702   0.1789
  155.85     -5     -3     7.35   146.97    49.20   0.0195  -0.5892   0.2314   2.9281  -1.0702   0.1789
  140.39     -5     -2     7.07   133.28    40.97   0.0164  -0.5880   0.2328   2.9280  -1.0700   0.1791
